n   error 
311   1.59349342071113024492293565255918242E-0003
312   1.59949423440460207454398097402903171E-0003
313   1.60413028130520264973850488505966990E-0003
314   1.59223407069339302246657880837147754E-0003
315   1.59330184328516735847380597613934686E-0003
316   1.56910411273447234013663878456475143E-0003
317   1.56525034803874459982567768680649830E-0003
318   1.57833044225366092864440857837982063E-0003
319   1.57143762037523453628227994683506366E-0003
320   1.55412424025630583322511735332975662E-0003
321   1.56541037009446881711483001708986714E-0003
322   1.54671369443708780330363603747536973E-0003
323   1.53759077515901928629377945021050807E-0003
324   1.52972633145126979231227675883650041E-0003
325   1.53588319282004724114320205853598126E-0003
326   1.52718229650040350016757581360946685E-0003
327   1.53323415747755945161825703607232036E-0003
328   1.52434224567386676914905150354586609E-0003
329   1.51877575973630536531565233329307052E-0003
330   1.51065172211307725931834868830753851E-0003
331   1.49977061811995353033172635445362654E-0003
332   1.50371990250164370557216264387675587E-0003
333   1.49674356477312113138531925612844879E-0003
334   1.50160582383204687285530137048650200E-0003
335   1.49792994470073567982739676254244632E-0003
336   1.49233448673699422094014100439962555E-0003
337   1.49257239899355200142546846212440847E-0003
338   1.46463186300669784652712245006336804E-0003
339   1.47393394476910479483386222348108183E-0003
340   1.47380210060384671214918920524754846E-0003
341   1.46069669674688814833089967087481490E-0003
342   1.45855670810430610732782245970966844E-0003
343   1.45326848474998869324695851594828620E-0003
344   1.46092881504074685818726547774653852E-0003
345   1.43986236609532631301054637325071188E-0003
346   1.44758375485190396748578641074615815E-0003
347   1.43094320098012426876233938387257475E-0003
348   1.43249886104654939690124437204650174E-0003
349   1.42270584330740370607420197722615447E-0003
350   1.42264051758474519145685364216018138E-0003
351   1.42617482683260221870578065210459156E-0003
352   1.40776726057538174796033409311179272E-0003
353   1.41149861312352028513742872506134997E-0003
354   1.40730421003145129530111595320159219E-0003
355   1.39771959296004025211411547701160847E-0003
356   1.38494954613329126966824916543717796E-0003
357   1.39591809215908052945073814859236545E-0003
358   1.39622317308995228718988840174550197E-0003
359   1.38406145334891843079947669282620744E-0003
360   1.38883646771945875284331973011322450E-0003
361   1.38233069853604207804173599054785600E-0003
362   1.38843668812286714201593848000205517E-0003
363   1.36728218891591225739913357762947844E-0003
364   1.35699470895047411044968824763888330E-0003
365   1.37590767916562093036961633216760884E-0003
366   1.36909380906780031389983426475414506E-0003
367   1.36540094853475248935725320225251156E-0003
368   1.34366551627074600594543389510976059E-0003
369   1.33459066730283116235174168260429479E-0003
370   1.35433552220914417634444669218562891E-0003
371   1.34274909177208639044584019328660476E-0003
372   1.32610015693114088304316101732725070E-0003
